libelle_grand_domaine,libelle_domaine_professionel,code_rome,libelle_rome
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,A1101,Conducteur / Conductrice d'engins agricoles
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,A1102,Conducteur / Conductrice d'engins d'exploitation forestière
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1201,Bûcheron / Bûcheronne
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1202,Agent / Agente d'entretien des espaces naturels
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1203,Agent / Agente d'entretien des espaces verts
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1204,Garde de parc naturel
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1205,Sylviculteur / Sylvicultrice
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1206,Concepteur / Conceptrice paysagiste
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1208,Jardinier / Jardinière paysagiste
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1209,Elagueur / Elagueuse
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1210,Ouvrier forestier / Ouvrière forestière
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1211,Chef / Cheffe d'équipe paysagiste
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1212,Chef / Cheffe d'équipe de travaux forestiers
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1213,Conducteur / Conductrice de travaux forestiers
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,A1214,Patrouilleur modeleur / Patrouilleuse modeleuse VTT
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1301,Technicien / Technicienne de culture maraîchère
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1302,Technicien / Technicienne agricole
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1304,Conseiller / Conseillère technique agricole
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1305,Technicien / Technicienne des services vétérinaires
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1306,Chargé / Chargée de mission biodiversité
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1307,Ingénieur forestier / Ingénieure forestière
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1308,Technicien / Technicienne de l'insémination animale
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1309,Technicien / Technicienne d'élevage équin
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1310,Technicien / Technicienne de production animale
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1311,Technicien forestier / Technicienne forestière
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1312,Directeur / Directrice environnement
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,A1313,Chargé / Chargée de mission environnement
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1401,Cueilleur / Cueilleuse de fruits
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1402,Aide agricole en production végétale
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1403,Aide d'élevage agricole
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1404,Aquaculteur / Aquacultrice
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1405,Arboriculteur / Arboricultrice
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1406,Capitaine de pêche
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1407,Eleveur / Eleveuse de bovins
"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Production,A1408,Eleveur / Eleveuse d'animaux sauvages
