job_title,skill
Accessoiriste,"Transmettre les accessoires de jeu (journal, bouteille, valise, ...) aux acteurs, au cours du tournage, de la représentation, Contrôler la similitude des décors et des accessoires du début à la fin du tournage ou de la représentation, Adapter des armes pour un spectacle, un film, Gérer l'inventaire des matériaux et fournitures, Réaliser des effets décoratifs et des ornementations, Implanter des éléments de décor, Installer les accessoires de scène, Assembler un décor, Concevoir des décors et accessoires de spectacle, Déplacer des éléments de décors, de matériel en fonction du mouvement des acteurs, Réaliser un croquis ou une maquette de décors et d'accessoires, Préparer et lancer des effets spéciaux, Réaliser un travail de précision nécessitant le sens de la minutie, Respecter les horaires de répétitions et de performances, Gérer l'inventaire des pièces détachées pour les réparations, Maintenir les décors en bon état tout au long des représentations, Organiser le rangement des accessoires après une représentation, Assurer la maintenance régulière des accessoires de spectacle, Gérer l'inventaire des accessoires disponibles pour les spectacles, Collaborer avec les acteurs pour ajuster les accessoires selon leurs besoins, Respecter les délais de préparation des accessoires avant les spectacles, Communiquer clairement les consignes de sécurité concernant les accessoires, Argumenter sur le choix des accessoires lors des réunions de production, Agir rapidement en cas de défaillance d'un accessoire durant une représentation, Traiter les demandes spécifiques des réalisateurs et metteurs en scène pour les accessoires, Développer des solutions créatives pour résoudre les problèmes d'accessoires, Développer un réseau de fournisseurs d'objets anciens, Démonter et stocker correctement les décors après utilisation, Gérer l'inventaire des accessoires après chaque représentation, Faire preuve de polyvalence dans ses créations manuelles, Analyser les coûts de location et d'achat de matériel, Faire preuve d'autonomie, Avoir l'esprit d'équipe, Etre ouvert aux changements, Faire preuve de créativité, d'inventivité"
Accompagnant / Accompagnante des élèves en situation de handicap (AESH),"Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne et des règles de vie en collectivité, Accompagner des élèves handicapés, Réaliser du soutien scolaire (réalisation/correction d'exercices, devoirs...), Adapter l'apprentissage selon la progression pédagogique, les difficultés rencontrées, Evacuer les personnes, les mettre en sécurité en cas d'accident, d'incendie et guider les secours, Concevoir et mettre en oeuvre des actions de sensibilisation, Conseiller, accompagner une personne, Enseigner, transmettre des connaissances, développer des compétences, Assurer une médiation, Communiquer à l'oral en milieu professionnel, Comprendre et respecter les règles de vie collective, Utiliser les outils numériques, Prévenir et résoudre les conflits, Faciliter et créer les conditions de la coopération, Expliquer et faire respecter les règles et procédures, Travailler en groupe, en réseau, Contribuer au bien-être physique d'une personne, Contribuer au bien-être psychologique d'une personne, Adapter ses pratiques à l'accompagnement de l'enfant en situation de handicap, Aider l'enfant à faire ses devoirs, Adapter son comportement, sa pratique professionnelle aux situations, Accompagner le développement de l'enfant, Encourager l'autonomie dans les activités quotidiennes, Collaborer avec des enseignants pour soutenir les élèves, Accompagner des personnes à mobilité réduite lors de déplacements, Communiquer avec l'entourage de la personne accompagnée, Savoir alerter en cas de problème, Etre à l'écoute, faire preuve d'empathie, Avoir l'esprit d'équipe, Organiser son travail selon les priorités et les objectifs"
Accompagnant Educatif et Social (AES) / Accompagnante Educative et Sociale (AES),"Guider, accompagner une personne ou une famille dans ses démarches, Echanger avec la personne sur son ressenti (mal-être, satisfaction, etc.) et l'orienter vers le professionnel concerné (médecin, assistant de service social, etc.), Maintenir, favoriser le lien social de la personne, Accompagner une personne lors d'un déplacement, Organiser des activités de divertissement selon les participants et le contexte, Adapter et optimiser sa pratique au contexte et aux risques professionnels (gestes, postures, ergonomie), Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Respecter les règles d'éthique et de déontologie, Rendre compte de son activité, Contribuer au bien-être physique d'une personne, Contribuer au bien-être psychologique d'une personne, Collaborer avec des équipes multidisciplinaires, Encourager l'autonomie dans les activités quotidiennes, Encourager la personne à maintenir une activité physique adaptée, Surveiller l'état de santé général de la personne, Encourager les écogestes et la réduction de l'empreinte environnementale, Accompagner l'appropriation d'un outil numérique ou digital courant par ses utilisateurs, Apporter un soutien émotionnel aux personnes accompagnées et à leur entourage, Contribuer à des projets d'amélioration continue de la qualité de l'accompagnement, Prévenir les risques et la sécurité de la personne accompagnée, Entretenir les espaces de vie et le linge de la personne accompagnée, Adapter la communication à la compréhension et aux besoins de la personne accompagnée, Communiquer avec l'entourage de la personne accompagnée, Etablir une relation de confiance et faciliter la communication avec la personne accompagnée, Veiller à l'hygiène corporelle des personnes, Coconstruire et adapter le mode d'intervention socio-éducatif avec la personne accompagnée, Evaluer régulièrement l'évolution de la personne accompagnée, Savoir alerter en cas de problème, Assurer une présence et un environnement sécurisant pour les personnes accompagnées, Préparer, aider à la prise des repas et encourager dans la manipulation des couverts, Repérer des situations à risques, Utiliser des aides matérielles techniques adaptées, Conseiller la personne ou la famille dans l'organisation de ses activités de la vie quotidienne, Contribuer à maintenir et développer l'autonomie des personnes, Etre à l'écoute, faire preuve d'empathie, Faire preuve d'autonomie, Faire preuve de réactivité, Faire preuve de rigueur et de précision"
Accompagnateur / Accompagnatrice en écotourisme,"Recueillir les informations sur la durée, le nombre de participants, les spécificités de la prestation d'accompagnement touristique, Accompagner des groupes lors de visites guidées ou sorties en extérieur, Sensibiliser un public à une réglementation, Accueillir, orienter, renseigner un public, Appliquer les règles et protocoles visant à limiter les effets de l'activité sur l'environnement, Faire preuve de pédagogie pour faciliter la compréhension, Informer le client sur l'environnement touristique et culturel, Réduire l'empreinte environnementale de son activité, Assurer le respect des réglementations environnementales, Accompagner des touristes en respectant les normes écologiques, Expliquer la biodiversité locale et son importance, Promouvoir des pratiques touristiques durables, Sensibiliser les visiteurs à la protection de l'environnement, Observer et interpréter les signes de la faune et de la flore, Assurer la sécurité des participants durant les excursions, Adapter les parcours selon les conditions météorologiques, Utiliser des équipements de tourisme écologique de manière adéquate, Appliquer les éco-gestes dans sa pratique (eau, énergie, produits, etc.), Encadrer les activités en plein air et les sorties éducatives, Etre à l'écoute, faire preuve d'empathie, Faire preuve d'autonomie, Etre force de proposition"
Accueillant familial / Accueillante familiale thérapeutique auprès d'adultes,"Vérifier la prise de médicaments par la personne en fonction de la prescription médicale, Observer l'état de santé psychique et physique de la personne accompagnée, Informer, conseiller le patient ou la personne accompagnée dans la gestion de son environnement, Surveiller le respect des normes de sécurité, Faciliter la résolution de questions et démarches administratives, Accompagner une personne lors d'un déplacement, Renseigner les documents de suivi d'une personne, Accompagner le développement de l'autonomie d'une personne, Respecter les règles d'éthique et de déontologie, Aider des personnes dans leur cadre de vie, Aider une personne à s'habiller, Co-concevoir un projet individualisé, Aider à la préparation des repas équilibrés, Gérer des situations de crise ou d'urgence, Identifier les informations communicables à autrui en respectant le secret professionnel, Organiser les activités thérapeutiques quotidiennes, Encourager l'autonomie dans les activités quotidiennes, Communiquer efficacement avec les familles, Gérer l'hygiène quotidienne d'une personne dépendante, Accueillir et rassurer les personnes accueillies, Ecouter activement les besoins spécifiques, Organiser des activités thérapeutiques adaptées, Maintenir un environnement sécurisé et confortable, Respecter les protocoles de soins personnalisés, Faciliter l'inclusion sociale des personnes accueillies, Faciliter l'intégration dans la communauté, Adapter les espaces de vie aux besoins spécifiques, Analyser les besoins non exprimés, Proposer des solutions adaptées à chaque cas, Prévenir les situations de crise, Appliquer les recommandations sanitaires en vigueur, Encourager l'expression des émotions, Rédiger des rapports détaillés sur les incidents et les activités quotidiennes, Etre à l'écoute, faire preuve d'empathie, Etre force de proposition, Faire preuve de contrôle de soi, Organiser son travail selon les priorités et les objectifs"
Acheteur / Acheteuse,"Evaluer des fournisseurs, sous-traitants, prestataires, Réaliser des audits de fournisseurs pour assurer la qualité des produits, Définir des besoins en approvisionnement, Analyser les tendances du marché pour anticiper les besoins, Rédiger un cahier des charges, des spécifications techniques, Contrôler la conformité des données, Suivre un contrat, vérifier le respect des clauses contractuelles, Négocier un contrat, Négocier des conditions commerciales, Utiliser les outils numériques, Etablir des relations durables avec les fournisseurs, Mettre en place des indicateurs de performance pour les processus de qualité, Identifier et anticiper des risques fournisseurs, Anticiper des coûts, Assurer le suivi des commandes et la gestion des stocks, Conduire des projets d'amélioration continue dans le département des achats, Faire preuve d'autonomie, Faire preuve de réactivité, Organiser son travail selon les priorités et les objectifs, Faire preuve de rigueur et de précision"
Acheteur / Acheteuse média,"Etablir et faire évoluer des méthodologies et outils d'étude et de mesure médias, Définir une stratégie média, Négocier les conditions d'achat d'un espace publicitaire, Collecter des informations sur un produit, une marque, Sélectionner des canaux de communication, Acheter des espaces publicitaires, Analyser, exploiter, structurer des données, Estimer les coûts et les délais d'une activité ou d'une prestation, Concevoir et promouvoir une offre commerciale, Développer et gérer des relations ou partenariats, Assurer le suivi des chiffres de vente et réaliser le reporting associé, Répondre à un appel d'offres, Participer à la définition du planning, du budget global et des délais, Concevoir des systèmes de reporting pour le suivi des performances, Assurer la conformité réglementaire des campagnes, Gérer le stress et prendre des décisions rapides en situation d'urgence, Optimiser les campagnes de communication digitale, Respecter les délais et les spécifications des projets multimédias, Analyser le retour sur investissement des campagnes publicitaires, Analyser l'impact des campagnes publicitaires sur les ventes, Evaluer l'impact des campagnes de communication sur le public cible, Adapter les stratégies en fonction des analyses de données, Analyser les tendances du marché publicitaire, Optimiser les campagnes pour maximiser le retour sur investissement, Gérer les relations avec les fournisseurs de médias, Contrôler la qualité et la performance des placements médias, Développer des stratégies de monétisation pour les espaces publicitaires, Gérer les budgets alloués aux campagnes publicitaires, Gérer les campagnes de display en temps réel, Avoir l'esprit d'équipe, Organiser son travail selon les priorités et les objectifs, Faire preuve de rigueur et de précision"
"Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux","Authentifier/expertiser des pièces et produits, Proposer une stratégie d'investissement, Repérer des copies, des reproductions d'oeuvres d'art, Vendre des articles de joaillerie, Rechercher des objets d'art, anciens ou d'occasion auprès de professionnels ou de particuliers, Restaurer des objets d'art destinés à la revente, Préparer les objets pour la vente, Procéder à l'encaissement, Effectuer le suivi des commandes, la facturation, Assurer la gestion administrative et financière d'une activité, Identifier et sélectionner des fournisseurs, sous-traitants, prestataires, Réaliser des opérations comptables, Identifier, traiter une demande client, Présenter et valoriser un produit ou un service, Organiser, aménager un espace de vente, Mettre à jour un dossier, une base de données, Etablir des relations durables avec les fournisseurs, Assurer la conformité des transactions avec la réglementation, Analyser la qualité des métaux précieux, Négocier les prix d'achat et de vente des métaux, Gérer les stocks de métaux précieux, Evaluer la valeur marchande des métaux précieux, Conseiller les clients sur les investissements en métaux précieux, Maintenir à jour les connaissances sur le marché des métaux, Appliquer des techniques de vente spécialisées pour les métaux précieux, Assurer la sécurité des transactions de métaux précieux, Proposer des solutions d'investissement en métaux précieux, Organiser des expositions ou des présentations de métaux précieux, Mettre en place des politiques de confidentialité pour les clients, Documenter les transactions pour assurer la transparence, Optimiser l'espace de stockage des métaux précieux, Assurer le respect des normes de sécurité pour le stockage des métaux, Communiquer efficacement sur l'origine des objets à vendre, Faire preuve de rigueur et de précision, Faire preuve de curiosité, d'ouverture d'esprit, Avoir le sens du service"
Acheteur vendeur / Acheteuse vendeuse en dépôt-vente,"Réaliser l'étiquetage de produits, Animer un réseau de vente, Concevoir des stratégies de fidélisation de la clientèle, Préparer les objets pour la vente, Organiser et contrôler un approvisionnement, Organiser le traitement des commandes, Procéder à l'encaissement, Estimer la valeur d'un bien, d'un produit, Identifier, traiter une demande client, Négocier des conditions commerciales, Organiser, aménager un espace de vente, Assurer un service après-vente, Convaincre, négocier, Négocier une proposition, Négocier les termes des contrats avec les clients, Vérifier la mise en rayon des produits afin de les mettre en valeur et augmenter les ventes, Administrer des achats et des ventes, Contrôler la qualité des produits reçus, Négocier avec les clients en cas de désaccords, Etablir des rapports de vente détaillés, Négocier des conditions de vente ou d'achat, Accueillir les clients et identifier leurs besoins spécifiques, Accueillir les clients avec courtoisie et professionnalisme, Accueillir et conseiller les clients sur les produits du rayon, Gérer les stocks de produits en dépôt-vente, Assurer la promotion des articles en magasin, Optimiser l'espace d'exposition pour maximiser les ventes, Gérer les retours et les réclamations clients, Développer des partenariats avec d'autres commerces, Assurer la sécurité des transactions financières, Conseiller les clients sur les produits les plus adaptés, Développer des stratégies pour augmenter la rentabilité du service, Savoir estimer la valeur des objets et reconnaître les pièces rares ou authentiques, Accueillir en face à face le client pour créer un climat de confiance favorable à la vente, Organiser son travail selon les priorités et les objectifs, Faire preuve de curiosité, d'ouverture d'esprit, Avoir le sens du service"
Acousticien / Acousticienne du bâtiment,"Superviser et contrôler l'exécution d'études, de documents et de plans de détails confiés aux bureaux d'études, Analyser les données d'une étude, d'un projet, Piloter un projet d'étude BTP (construction, ouvrage, aménagement etc.), Inventorier les contraintes de construction d'un ouvrage, Réaliser des mesures de locaux et les calculs de surfaces, Créer une documentation technique, Evaluer, prévenir, et gérer les risques et la sécurité, Réaliser une étude d'opportunité et de faisabilité technique et économique, Rédiger un cahier des charges, des spécifications techniques, Estimer les coûts et les délais d'une activité ou d'une prestation, Identifier et sélectionner des fournisseurs, sous-traitants, prestataires, Répondre aux attentes d'un client, Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Expliquer les choix techniques aux clients, Identifier les solutions techniques d'amélioration des équipements et installations, Utiliser des logiciels de modélisation et simulation, Assurer les réponses techniques aux appels d'offres, Assurer une veille technologique continue, Respecter les délais et budgets alloués, Collaborer avec d'autres professionnels pour des projets spécifiques, Vérifier la conformité des installations aux normes en vigueur, Promouvoir l'utilisation de matériaux recyclés ou écologiques, Interpréter les résultats de mesures acoustiques, Conseiller sur les matériaux acoustiques à utiliser, Surveiller l'installation de systèmes d'isolation sonore, Evaluer l'efficacité des solutions acoustiques après installation, Réaliser des mesures sonores et diagnostiquer la qualité acoustique des espaces, Concevoir des solutions d'isolation et de correction acoustique adaptées, Avoir l'esprit d'équipe, Etre force de proposition, Organiser son travail selon les priorités et les objectifs"
