cv_id,stabilite,code_modal,n_codes_uniques
CV001,0.9,M1889,3
CV002,0.1,M1841,18
CV003,0.95,M1887,2
CV004,0.9,M1889,2
CV005,0.1,M1841,18
CV006,0.75,M1872,2
CV007,0.7,M1872,2
CV008,0.95,M1861,2
CV009,0.85,M1874,2
CV010,0.85,M1801,2
CV011,0.9,M1883,2
CV012,0.8,M1864,3
CV013,0.95,M1879,2
CV014,0.95,M1879,2
CV015,0.95,M1879,2
CV016,0.85,M1879,2
CV017,0.75,M1886,2
CV018,0.6,M1886,2
CV019,0.9,M1886,2
CV020,0.95,M1879,2
CV021,0.8,M1854,2
CV022,0.85,M1874,2
CV023,0.9,M1886,2
CV024,0.9,M1839,2
CV025,0.95,M1882,2
CV026,0.95,M1879,2
CV027,0.55,M1879,3
CV028,0.9,M1864,2
CV029,0.85,M1851,3
CV030,0.85,M1874,3
CV031,0.9,M1886,2
