"code_rome","code_ogr","coeur_metier"
"A1101","23376",""
"A1101","38055",""
"A1101","100003","Principale"
"A1101","100011",""
"A1101","100015",""
"A1101","100016",""
"A1101","100017",""
"A1101","100019",""
"A1101","100057","Émergente"
"A1101","100104",""
"A1101","100131",""
"A1101","101869",""
"A1101","104016",""
"A1101","104425",""
"A1101","104514",""
"A1101","104547",""
"A1101","105545",""
"A1101","106465",""
"A1101","107141",""
"A1101","109995","Émergente"
"A1101","109998",""
"A1101","110024",""
"A1101","116781",""
"A1101","117548",""
"A1101","120016",""
"A1101","121998",""
"A1101","122567",""
"A1101","122568",""
"A1101","122573","Principale"
"A1101","122730","Principale"
"A1101","122817",""
"A1101","122853","Principale"
"A1101","122854",""
"A1101","122855",""
"A1101","123176",""
"A1101","123701",""
"A1101","125527","Principale"
"A1101","200042",""
"A1101","200047",""
"A1101","200048",""
"A1101","300152",""
"A1101","300160","Principale"
"A1101","300172","Principale"
"A1101","300183",""
"A1101","300364",""
"A1101","300446",""
"A1101","300460",""
"A1101","300465",""
"A1101","300490",""
"A1101","300781",""
"A1101","300783",""
"A1101","300795",""
"A1101","300805",""
"A1101","300824",""
"A1101","400094",""
"A1101","402131",""
"A1101","403095",""
"A1101","403960",""
"A1101","403970",""
"A1101","403984",""
"A1101","404006","Principale"
"A1101","404016",""
"A1101","404020","Principale"
"A1101","404310",""
"A1101","404315",""
"A1101","483361",""
"A1102","23376",""
"A1102","38055",""
"A1102","100015",""
"A1102","100017",""
"A1102","100019",""
"A1102","100023","Principale"
"A1102","100057","Émergente"
"A1102","100131",""
"A1102","100240","Principale"
"A1102","103060",""
"A1102","104016",""
"A1102","104425",""
"A1102","104514","Principale"
"A1102","104547",""
"A1102","107058",""
"A1102","107141",""
"A1102","109995","Émergente"
"A1102","110503",""
"A1102","116663",""
"A1102","117489",""
"A1102","118788",""
"A1102","120408",""
"A1102","122567","Principale"
"A1102","122575",""
"A1102","122579",""
"A1102","122698",""
"A1102","122817",""
"A1102","123009",""
"A1102","123176",""
"A1102","123699",""
"A1102","123701",""
"A1102","125144","Principale"
"A1102","300135","Principale"
"A1102","300152",""
"A1102","300172",""
"A1102","300236",""
"A1102","300264",""
"A1102","300270",""
"A1102","300297",""
"A1102","300353",""
"A1102","300364",""
"A1102","300446",""
"A1102","300460",""
"A1102","300483",""
"A1102","300490",""
"A1102","300781",""
"A1102","300783",""
"A1102","300795",""
"A1102","300805",""
"A1102","300824",""
"A1102","402131",""
"A1102","403095",""
"A1102","403962",""
"A1102","403969",""
"A1102","403984",""
"A1102","403985",""
"A1102","404006","Principale"
"A1102","404313",""
"A1102","404314",""
"A1102","404351",""
"A1102","483361",""
"A1102","490468",""
"A1102","515302",""
"A1201","38055",""
"A1201","100016",""
"A1201","100017",""
"A1201","100023","Principale"
"A1201","100029",""
"A1201","100030",""
"A1201","100032",""
"A1201","100033","Principale"
"A1201","100035",""
"A1201","100063",""
"A1201","100100",""
"A1201","100102",""
"A1201","104016",""
"A1201","104954",""
"A1201","107058",""
"A1201","117489",""
"A1201","117492",""
"A1201","119210",""
"A1201","119290",""
"A1201","120373",""
"A1201","120676",""
"A1201","121931",""
"A1201","122565","Principale"
"A1201","122567",""
"A1201","122575","Principale"
"A1201","122578",""
"A1201","122579","Principale"
"A1201","122698",""
"A1201","122728","Principale"
"A1201","122772",""
"A1201","123072",""
"A1201","125144",""
"A1201","125314",""
"A1201","126336","Principale"
"A1201","200091","Émergente"
"A1201","300297",""
"A1201","300446",""
"A1201","300460",""
"A1201","300473",""
"A1201","300490",""
"A1201","300779",""
"A1201","300783",""
"A1201","300790",""
"A1201","300794",""
"A1201","300795",""
"A1201","300806",""
"A1201","400207","Émergente"
"A1201","403103",""
"A1201","403104",""
"A1201","403106",""
"A1201","403960",""
"A1201","403985",""
"A1201","404314",""
"A1201","404351",""
"A1201","405285",""
"A1201","405349",""
"A1201","479278","Principale"
"A1201","479725",""
"A1201","484509",""
"A1201","489620",""
"A1201","490668",""
"A1201","490669",""
"A1201","490670",""
"A1201","493146",""
"A1201","498373",""
"A1201","498585",""
"A1201","499947",""
"A1201","499948","Principale"
"A1201","499949","Émergente"
"A1201","499950",""
"A1201","506249","Émergente"
"A1201","511219",""
"A1202","100019",""
"A1202","100032",""
"A1202","100050","Émergente"
"A1202","100057","Émergente"
"A1202","100158",""
"A1202","106963",""
"A1202","110560",""
"A1202","113863",""
"A1202","113865",""
"A1202","113866",""
"A1202","119210","Principale"
"A1202","120676",""
"A1202","121240",""
"A1202","122570","Principale"
"A1202","122580",""
"A1202","122719","Principale"
"A1202","122746",""
"A1202","122854",""
"A1202","123042","Principale"
"A1202","124544",""
"A1202","124552",""
"A1202","124553",""
